Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Players Agency,Verified,Player,Players 1st tier,Rumours,Total market value,ø-Market value,Profile Link
AIM fútbol,Verified,86,44,-,€35.68m,€415k,/aim-futbol/beraterfirma/berater/7424
LBD Representacion,Verified,36,6,-,€5.90m,€164k,/lbd-representacion/beraterfirma/berater/7144
ProSports Chile,Verified,23,3,-,€1.85m,€80k,/prosports-chile/beraterfirma/berater/12208
Hattrick CL,Verified,24,2,-,€1.78m,€74k,/hattrick-cl/beraterfirma/berater/9944
Mundo Futuro Chile,No verificado,78,46,-,€32.20m,€413k,/mundo-futuro-chile/beraterfirma/berater/7693
UNOSPORTS LIMITADA,No verificado,40,26,-,€23.58m,€589k,/unosports-limitada/beraterfirma/berater/5111
Talento Deportivo,No verificado,40,24,-,€20.90m,€523k,/talento-deportivo/beraterfirma/berater/13426
TRADING SPORTS,No verificado,23,11,1,€15.15m,€659k,/trading-sports/beraterfirma/berater/5025
Andes Sport Management,No verificado,25,7,-,€4.80m,€192k,/andes-sport-management/beraterfirma/berater/7466
Mauricio Méndez,No verificado,18,5,-,€2.93m,€163k,/mauricio-mendez/beraterfirma/berater/11503
Ikons By Solo Cracks,No verificado,14,5,-,€2.78m,€198k,/ikons-by-solo-cracks/beraterfirma/berater/11956
Fútbol & Business Hub,No verificado,7,3,-,€2.08m,€296k,/futbol-amp-business-hub/beraterfirma/berater/12180
Next Level Sports Management,No verificado,3,3,-,€1.95m,€650k,/next-level-sports-management/beraterfirma/berater/8148
Rc Sport Management,No verificado,8,4,-,€1.88m,€234k,/rc-sport-management/beraterfirma/berater/10549
RSM,No verificado,11,3,-,€1.45m,€132k,/rsmtm/beraterfirma/berater/8906
Vis10n Futbol,No verificado,22,4,-,€1.35m,€61k,/vis10n-futbol/beraterfirma/berater/10577
MMK SOCCER,No verificado,10,2,-,€1.25m,€125k,/mmk-soccer/beraterfirma/berater/4222
ALTIUS Gerenciamiento Deportivo,No verificado,12,-,-,€1.20m,€100k,/altius-gerenciamiento-deportivo/beraterfirma/berater/8879
FA SPORTS SPA,No verificado,1,1,-,€600k,€600k,/fa-sports-spa/beraterfirma/berater/10147
Pass Ball,No verificado,9,1,-,€400k,€44k,/pass-ball/beraterfirma/berater/671
Global Agents,No verificado,1,1,-,€300k,€300k,/global-agents/beraterfirma/berater/13031
Nueva Futbol Chile SpA,No verificado,5,-,-,€300k,€60k,/nueva-futbol-chile-spa/beraterfirma/berater/13367
FS Futbol Sport,No verificado,4,-,-,€75k,€19k,/fs-futbol-sport/beraterfirma/berater/7783
Factor Futbol,No verificado,2,-,-,€25k,€13k,/factor-futbol/beraterfirma/berater/10805
Agencia de Futbol M&M,No verificado,-,-,-,-,-,/agencia-de-futbol-m-amp-m/beraterfirma/berater/7309
Alan Silbermann,No verificado,1,-,-,-,-,/alan-silbermann/beraterfirma/berater/424
FullSoccer,No verificado,4,-,-,-,-,/fullsoccer/beraterfirma/berater/6794
Masquefutbolcl,No verificado,3,-,-,-,-,/masquefutbolcl/beraterfirma/berater/13436
cmbfutbol chile,No verificado,-,-,-,-,/cmbfutbol-chile/beraterfirma/berater/6640,
zetasportspa,No verificado,-,-,-,-,/zetasportspa/beraterfirma/berater/11326,
RES Agency,No verificado,-,-,-,-,/res-agency/beraterfirma/berater/8696,
Kasa Sports Management Agency,No verificado,-,-,-,-,/kasa-sports-management-agency/beraterfirma/berater/5323,
Profutgoal Ltda.,No verificado,-,-,-,-,/profutgoal-ltda-/beraterfirma/berater/13391,
AGENCIA WFUTBOL,No verificado,5,-,-,-,-,/agencia-wfutbol/beraterfirma/berater/7903
LSA Sports Agent,No verificado,2,-,-,-,-,/lsa-sports-agent/beraterfirma/berater/4765
Maucho Agency,No verificado,-,-,-,-,/maucho-agency/beraterfirma/berater/12799,
Agency Sie,No verificado,-,-,-,-,/agency-sie/beraterfirma/berater/10415,
Atlantic Soccer Agency,No verificado,-,-,-,-,/atlantic-soccer-agency/beraterfirma/berater/12711,
País Más Deporte,No verificado,-,-,-,-,/pais-mas-deporte/beraterfirma/berater/10408,
Futbol Advisors Ltda.,No verificado,-,-,-,-,/futbol-advisors-ltda-/beraterfirma/berater/3157,
Agents Footbal Chile,No verificado,-,-,-,-,/agents-footbal-chile/beraterfirma/berater/12616,
Q10 Sports Chile,No verificado,-,-,-,-,/q10-sports-chile/beraterfirma/berater/10285,
Latino America Futbol,No verificado,3,-,-,-,-,/latino-america-futbol/beraterfirma/berater/2789
