Agencia ;stats_Squad;COUNTA de Player
;;
AIM Futbol ;Audax Italiano;1
;Colo-Colo;2
;Curico Unido;2
;Everton;3
;La Calera;1
;O'Higgins;5
;Palestino;1
;U de Chile;2
;Unión Española;1
;Univ Católica;1
;;
Andes Sport Management;Huachipato;1
;Ñublense;1
;Unión Española;1
Total Andes Sport Management;;3
Factor Futbol;Curico Unido;1
Total Factor Futbol;;1
Ikons by Solo Cracks;Deportes Copiapó;1
;O'Higgins;1
Total Ikons by Solo Cracks;;2
Mauricio Méndez;Audax Italiano;1
;Curico Unido;2
Total Mauricio Méndez;;3
Mundo Futuro Chile;Audax Italiano;3
;Cobresal;1
;Colo-Colo;3
;Coquimbo Unido;8
;Curico Unido;1
;Deportes Copiapó;2
;Everton;1
;Palestino;6
;;
Next level Sports Managament;Colo-Colo;1
;Palestino;1
;;
;Univ Católica;1
;;
ProSports Chile;Unión Española;1
;;
RC Sport Managament;Unión Española;2
;;
RSMTM;Cobresal;1
;;
Talento Deportivo;Audax Italiano;1
;Cobresal;1
;Colo-Colo;1
;Deportes Magallanes;1
;Everton;2
;Huachipato;1
;Ñublense;3
;O'Higgins;1
;Unión Española;7
;;
Trading Sports;Palestino;3
;Univ Católica;1
;;
Unosports Limitada;Cobresal;1
;Colo-Colo;1
;Coquimbo Unido;1
;Deportes Copiapó;1
;Everton;2
;Huachipato;1
;Ñublense;5
;Palestino;1
;U de Chile;1
;Unión Española;1
;Univ Católica;1
;;
Vibra Futbol ;Audax Italiano;6
;Cobresal;2
;Colo-Colo;7
;Everton;1
;Huachipato;5
;La Calera;3
;O'Higgins;1
;Palestino;2
;U de Chile;3
;Unión Española;1
;Univ Católica;7
;;
Vis10n Futbol;Cobresal;1
;;
;;
